Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Ribollita (1.5 cups soup) (150% portion),Meal/Soup,525.0,22.5,82.5,12.0,21.0,15.0,1350.0,7.5,Dinner,750.0,0,0,0,0
Grapes (1 cup) (50% portion),Fruit,52.0,0.55,13.5,0.1,0.7,11.5,1.5,0.0,Snack,0.0,0,1,1,0
Carrot (1/4 minced in sauce) (130% portion),Vegetable,13.0,0.26,3.12,0.13,0.91,1.56,22.1,0.0,Dinner,0.0,1,1,1,1
Kiwifruit (1 medium) (150% portion),Fruit,69.0,1.35,16.65,0.6000000000000001,3.45,10.05,3.0,0.0,Snack,0.0,0,1,1,0
Provolone Cheese (1 slice) (130% portion),Dairy,130.0,9.1,1.3,10.4,0.0,0.65,325.0,26.0,Snack,0.0,1,0,0,0
Peanut Butter & Jelly Sandwich (50% portion),Meal/Processed,195.0,6.0,25.0,8.5,2.5,10.0,225.0,0.0,Lunch,125.0,0,0,0,0
Rosemary (garnish) (70% portion),Condiment,0.7,0.0,0.1399999999999999,0.0,0.0699999999999999,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Candied Fruit (1 tbsp) (150% portion),Fruit,45.0,0.0,12.0,0.0,0.75,12.0,7.5,0.0,Snack,0.0,0,1,1,0
Pecorino Romano (1/4 cup) (150% portion),Dairy,165.0,11.25,1.5,12.75,0.0,0.0,675.0,37.5,Dinner,0.0,1,0,0,0
French Fries (side) (130% portion),Vegetable/Processed,442.0,5.2,57.2,22.1,5.2,0.39,299.0,0.0,Dinner,0.0,0,0,0,0
Crackers (5 whole wheat) (50% portion),Grain/Processed,45.0,1.0,7.0,1.5,1.0,0.0,90.0,0.0,Lunch,0.0,1,1,1,1
Mint (1 tbsp in tabouli) (50% portion),Condiment,0.5,0.05,0.05,0.0,0.05,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Panettone (1 slice) (130% portion),Dessert,416.0,7.800000000000001,65.0,15.6,3.9,32.5,260.0,91.0,Snack,0.0,0,0,0,0
Marshmallow (1 large) (70% portion),Dessert,16.099999999999998,0.0699999999999999,4.06,0.0,0.0,2.8,3.5,0.0,Snack,0.0,1,1,1,1
Fried Okra (1 cup) (70% portion),Vegetable,154.0,2.8,17.5,8.399999999999999,3.5,2.1,315.0,7.0,Dinner,0.0,1,0,0,0
Stuffed Grape Leaves (3 pcs) (150% portion),Meal/Vegetarian,225.0,4.5,30.0,10.5,4.5,4.5,600.0,0.0,Snack,0.0,0,0,0,0
Choripan (1 sandwich) (50% portion),Meal/Processed,275.0,10.0,20.0,17.5,1.5,2.0,550.0,40.0,Lunch,125.0,1,0,0,0
Lemon Wedge (for calamari) (50% portion),Condiment,1.5,0.05,0.5,0.0,0.15,0.1,0.0,0.0,Dinner,0.0,1,1,1,1
Saffron (pinch) (70% portion),Condiment,0.7,0.0,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Egg Drop Soup (1 cup) (70% portion),Meal/Vegetable,45.5,3.5,4.199999999999999,1.4,0.35,0.7,546.0,35.0,Dinner,0.0,1,0,0,1
Avocado (1/2 fruit) (70% portion),Fruit,112.0,1.4,5.949999999999999,10.29,4.69,0.4899999999999999,4.9,0.0,Breakfast,0.0,1,1,1,0
Chicken Tikka Masala (1.5 cups) (70% portion),Meal/Meat,336.0,21.0,14.0,21.0,3.5,5.6,630.0,66.5,Dinner,175.0,0,0,0,0
Cupcake (Vanilla 1 medium) (130% portion),Dessert,312.0,2.6,45.5,14.3,1.3,32.5,260.0,39.0,Snack,0.0,0,0,0,0
Margarita (1 drink  4oz) (70% portion),Beverage,140.0,0.0699999999999999,14.0,0.0,0.0699999999999999,13.3,3.5,0.0,Snack,84.0,0,1,1,0
Cabbage Slaw (side) (50% portion),Vegetable,30.0,0.5,4.0,1.5,1.0,2.5,60.0,2.5,Dinner,0.0,1,1,1,1
Za'atar (1 tbsp) (50% portion),Condiment,20.0,0.5,1.5,1.5,0.75,0.0,75.0,0.0,Breakfast,0.0,1,1,1,1
Cumin (1 tsp) (130% portion),Condiment,10.4,0.39,1.95,0.65,0.52,0.13,3.9,0.0,Lunch,0.0,1,1,1,1
Hollandaise Sauce (2 tbsp) (150% portion),Condiment,165.0,1.5,0.75,18.0,0.0,0.3,225.0,75.0,Breakfast,0.0,1,0,0,0
Peanut Sauce (2 tbsp) (150% portion),Condiment,120.0,3.0,6.0,9.0,1.5,4.5,375.0,0.0,Dinner,0.0,1,0,0,0
Pickled Radish (1/4 cup) (50% portion),Vegetable,7.5,0.25,1.5,0.0,0.5,1.0,125.0,0.0,Breakfast,0.0,1,1,1,1
Pork Bun (1 steamed) (130% portion),Meal/Processed,286.0,10.4,39.0,10.4,2.6,7.800000000000001,520.0,26.0,Lunch,0.0,0,0,0,0
Fried Pita (1/2 pita in salad) (150% portion),Grain,120.0,3.0,18.0,4.5,1.5,0.75,225.0,0.0,Lunch,0.0,1,0,0,1
French Bread (2 slices) (130% portion),Grain,234.0,7.800000000000001,46.8,1.3,2.6,2.6,494.0,0.0,Dinner,0.0,0,0,0,1
Chicken Tikka Masala (1.5 cups) (130% portion),Meal/Meat,624.0,39.0,26.0,39.0,6.5,10.4,1170.0,123.5,Dinner,325.0,0,0,0,0
Mustard (1 tbsp  yellow) (130% portion),Condiment,13.0,0.65,1.3,0.65,0.65,0.0,208.0,0.0,Lunch,0.0,1,0,0,1
Croutons (1/4 cup) (50% portion),Grain,25.0,0.75,3.5,1.0,0.25,0.25,70.0,0.0,Lunch,0.0,1,1,1,1
Coffee Beans (3 garnish) (130% portion),Snack,2.6,0.13,0.39,0.0,0.13,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Chorizo (1 oz in paella) (70% portion),Protein/Meat,91.0,4.199999999999999,0.7,7.699999999999999,0.0,0.35,245.0,21.0,Dinner,0.0,1,0,0,0
Turkey Burger (1 patty) (130% portion),Protein/Meat,208.0,28.6,2.6,10.4,0.0,1.3,520.0,91.0,Lunch,325.0,1,0,0,0
Soda (1 can Coke) (50% portion),Beverage,70.0,0.0,19.5,0.0,0.0,19.5,22.5,0.0,Snack,177.5,0,1,1,0
Media Luna (1 pastry) (130% portion),Grain,247.0,5.2,32.5,10.4,1.3,11.7,195.0,32.5,Breakfast,0.0,0,0,1,0
Sesame Oil (1 tsp) (50% portion),Condiment,20.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Sage (2 leaves) (50% portion),Condiment,0.5,0.0,0.05,0.0,0.05,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Cottage Cheese (1 cup low fat) (50% portion),Dairy,80.0,14.0,3.0,1.25,0.0,2.0,410.0,5.0,Lunch,125.0,1,0,0,1
Fresh Mozzarella (1 oz) (70% portion),Dairy,50.4,3.5,0.5599999999999999,3.5,0.0,0.21,96.6,15.4,Dinner,0.0,1,1,1,1
Frosting (Vanilla 2 tbsp) (130% portion),Condiment,182.0,0.0,28.6,7.800000000000001,0.0,28.6,84.5,0.0,Snack,0.0,0,1,1,0
Hot Sauce (1 tsp Tabasco) (70% portion),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,Breakfast,0.0,1,1,1,1
Soda (1 can Coke) (130% portion),Beverage,182.0,0.0,50.7,0.0,0.0,50.7,58.5,0.0,Snack,461.5,0,1,1,0
Pickled Turnips (2 tbsp) (70% portion),Vegetable,7.0,0.1399999999999999,1.4,0.0,0.35,0.7,140.0,0.0,Lunch,0.0,1,0,1,1
Ground Lamb (1 oz filling) (150% portion),Protein/Meat,120.0,8.25,0.0,9.0,0.0,0.0,30.0,30.0,Snack,0.0,1,0,1,0
Beef Tacos (2 hard shell) (70% portion),Meal/Meat,266.0,12.6,19.6,15.4,3.5,2.1,420.0,35.0,Dinner,350.0,1,0,0,0
Soda (1 can Coke) (50% portion),Beverage,70.0,0.0,19.5,0.0,0.0,19.5,22.5,0.0,Snack,177.5,0,1,1,0
Whole Wheat Toast (1 slice) (50% portion),Grain,40.0,2.0,7.0,0.5,1.0,1.0,70.0,0.0,Breakfast,0.0,1,1,1,1
Turkish Coffee (1 small cup) (50% portion),Beverage,2.5,0.1,0.25,0.0,0.0,0.0,0.5,0.0,Snack,30.0,1,1,1,1
Lobster Bisque (1 cup) (130% portion),Meal/Seafood,325.0,10.4,15.6,23.4,1.3,3.9,1105.0,65.0,Lunch,325.0,1,0,0,0
Polenta (grilled 1 slice) (70% portion),Meal/Grain,84.0,1.75,17.5,0.7,1.4,0.35,210.0,0.0,Dinner,0.0,1,0,0,1
Chicken Tikka Masala (1.5 cups) (130% portion),Meal/Meat,624.0,39.0,26.0,39.0,6.5,10.4,1170.0,123.5,Dinner,325.0,0,0,0,0
Cupcake (Vanilla 1 medium) (50% portion),Dessert,120.0,1.0,17.5,5.5,0.5,12.5,100.0,15.0,Snack,0.0,0,1,1,0
Blue Cheese (1 oz) (130% portion),Dairy,130.0,7.800000000000001,0.91,10.4,0.0,0.13,422.5,27.3,Snack,0.0,1,0,0,0
Olives (5 side) (70% portion),Fruit,24.5,0.1399999999999999,0.7,2.45,0.35,0.0,147.0,0.0,Breakfast,0.0,1,0,1,1
Grilled Cheese Sandwich (50% portion),Meal/Processed,195.0,7.5,16.0,11.0,1.5,2.0,400.0,30.0,Lunch,0.0,1,0,0,0
Sausage Link (1 cooked) (130% portion),Protein/Meat,110.5,6.5,1.3,9.1,0.0,0.65,390.0,26.0,Breakfast,0.0,1,0,0,0
Beef Pho (1 large bowl) (50% portion),Meal/Soup,225.0,15.0,27.5,6.0,2.0,2.5,750.0,30.0,Dinner,250.0,1,0,0,1
Cereal Bar (Fruit) (130% portion),Snack/Processed,182.0,2.6,39.0,3.9,1.3,19.5,143.0,0.0,Breakfast,325.0,0,0,1,0
Pork Belly (1 oz in soup) (50% portion),Protein/Meat,72.5,1.5,0.0,7.5,0.0,0.0,75.0,10.0,Dinner,0.0,1,1,1,0
Cobb Salad (130% portion),Meal/Protein,663.0,39.0,15.6,49.4,9.1,7.800000000000001,1040.0,273.0,Lunch,650.0,0,0,0,0
Halibut (4oz baked) (130% portion),Protein/Fish,162.5,31.200000000000003,0.0,3.25,0.0,0.0,78.0,52.0,Dinner,325.0,1,0,0,1
Tilapia (4oz baked) (150% portion),Protein/Fish,165.0,33.0,0.0,3.75,0.0,0.0,75.0,75.0,Dinner,0.0,1,0,0,1
Macaroni Salad (1 cup) (130% portion),Meal/Pasta,494.0,10.4,39.0,32.5,3.9,7.800000000000001,975.0,26.0,Lunch,0.0,0,0,0,0
Jicama (1 cup sticks) (70% portion),Vegetable,32.2,0.63,7.419999999999999,0.0699999999999999,4.06,1.47,3.5,0.0,Snack,0.0,1,1,1,1
Grapefruit (1/2 medium) (130% portion),Fruit,67.60000000000001,1.4300000000000002,17.16,0.26,2.6,11.05,0.0,0.0,Breakfast,0.0,0,1,1,0
Pita Bread (1 white) (50% portion),Grain,82.5,2.75,16.5,0.6,0.75,0.75,155.0,0.0,Snack,0.0,1,0,1,1
Cucumber Slices (1 cup) (50% portion),Vegetable,8.0,0.35,1.8,0.05,0.25,0.85,1.0,0.0,Snack,0.0,1,1,1,1
Basil (2 tbsp fresh) (130% portion),Condiment,1.3,0.13,0.13,0.0,0.13,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Veggie Burger (1 patty) (70% portion),Protein/Vegetarian,84.0,7.699999999999999,7.0,2.8,3.5,0.7,245.0,0.0,Lunch,175.0,1,0,0,1
Baba Ganoush (1/4 cup) (130% portion),Meal/Vegetable,130.0,2.6,10.4,9.1,5.2,2.6,390.0,0.0,Snack,0.0,1,0,0,0
Chicken Alfredo (1.5 cups) (70% portion),Meal/Pasta,476.0,24.5,31.5,26.6,2.8,3.5,686.0,84.0,Dinner,175.0,0,0,0,0
Asparagus (1 cup steamed) (50% portion),Vegetable,20.0,2.15,3.7,0.2,1.8,1.75,2.0,0.0,Dinner,0.0,1,1,1,1
Pistachios (1 oz shelled) (70% portion),Nut,111.3,3.99,5.39,8.959999999999999,2.1,1.54,1.4,0.0,Snack,0.0,1,1,1,0
Cheese Whiz (2 tbsp) (150% portion),Condiment/Processed,135.0,6.0,4.5,10.5,0.0,3.0,810.0,30.0,Lunch,0.0,1,0,0,0
Bobotie (1 serving) (150% portion),Meal/Meat,675.0,37.5,45.0,37.5,7.5,22.5,1050.0,225.0,Dinner,0.0,0,0,0,0
Root Beer (1 can) (130% portion),Beverage,195.0,0.0,52.0,0.0,0.0,52.0,71.5,0.0,Snack,461.5,0,1,1,0
Blue Cheese (1 oz) (70% portion),Dairy,70.0,4.199999999999999,0.4899999999999999,5.6,0.0,0.0699999999999999,227.5,14.7,Snack,0.0,1,0,0,1
Mayonnaise (1 tbsp for dipping) (70% portion),Condiment,62.99999999999999,0.0699999999999999,0.0699999999999999,7.0,0.0,0.0699999999999999,49.0,3.5,Dinner,0.0,1,1,1,0
Basil (2 tbsp fresh) (130% portion),Condiment,1.3,0.13,0.13,0.0,0.13,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Muffin (Blueberry 1 large) (130% portion),Grain/Dessert,494.0,6.5,71.5,20.8,2.6,39.0,455.0,65.0,Breakfast,325.0,0,0,0,0
Coffee (with cream/sugar) (70% portion),Beverage,35.0,0.35,3.5,2.1,0.0,3.15,7.0,7.0,Breakfast,175.0,1,1,1,1
Aji Amarillo Paste (1 tsp) (70% portion),Condiment,3.5,0.0699999999999999,0.7,0.0,0.35,0.35,35.0,0.0,Dinner,0.0,1,1,1,1
Stuffed Grape Leaves (3 pcs) (70% portion),Meal/Vegetarian,105.0,2.1,14.0,4.9,2.1,2.1,280.0,0.0,Snack,0.0,1,0,0,1
Orange Peel (garnish) (50% portion),Condiment,0.5,0.0,0.1,0.0,0.05,0.0,0.0,0.0,Snack,0.0,1,1,1,1
S'more (1 serving) (50% portion),Dessert,70.0,1.0,12.5,2.0,0.5,7.5,45.0,0.0,Snack,0.0,0,1,1,0
Rice (1/4 cup filling) (70% portion),Grain,35.7,0.77,7.77,0.0699999999999999,0.0699999999999999,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Saffron (pinch) (70% portion),Condiment,0.7,0.0,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Scallops (3oz seared) (50% portion),Protein/Seafood,47.5,8.5,2.5,0.5,0.0,0.0,90.0,17.5,Dinner,0.0,1,1,1,1
Mignonette Sauce (1 tbsp) (70% portion),Condiment,3.5,0.0,0.7,0.0,0.0,0.35,21.0,0.0,Dinner,0.0,1,1,1,1
Ham & Cheese Croissant (70% portion),Meal/Processed,280.0,10.5,24.5,15.4,1.4,4.199999999999999,525.0,42.0,Breakfast,175.0,1,0,0,0
Falafel (3 pieces) (50% portion),Meal/Vegetarian,90.0,3.0,9.0,4.5,2.0,0.5,160.0,0.0,Lunch,0.0,1,0,1,1
Bell Peppers & Onions (sautéed) (70% portion),Vegetable,42.0,1.0499999999999998,7.0,1.4,2.1,4.199999999999999,21.0,0.0,Dinner,0.0,1,1,1,1
Veggie Burger (1 patty) (70% portion),Protein/Vegetarian,84.0,7.699999999999999,7.0,2.8,3.5,0.7,245.0,0.0,Lunch,175.0,1,0,0,1
Mayonnaise (1 tbsp for dipping) (130% portion),Condiment,117.0,0.13,0.13,13.0,0.0,0.13,91.0,6.5,Dinner,0.0,1,1,1,0
Pine Nuts (1/2 tbsp filling) (70% portion),Nut,33.599999999999994,0.7,0.7,3.5,0.1399999999999999,0.1399999999999999,0.0,0.0,Snack,0.0,1,1,1,1
Waffle Cone (1 small) (130% portion),Grain,91.0,1.3,16.900000000000002,1.95,0.65,9.1,39.0,6.5,Snack,0.0,0,1,1,0
Whole Wheat Toast (1 slice) (70% portion),Grain,56.0,2.8,9.8,0.7,1.4,1.4,98.0,0.0,Breakfast,0.0,1,1,1,1
Club Sandwich (150% portion),Meal/Processed,870.0,52.5,60.0,45.0,7.5,10.5,1950.0,142.5,Lunch,750.0,0,0,0,0
Trail Mix (1/4 cup) (130% portion),Snack/Processed,247.0,6.5,26.0,15.6,3.9,18.2,65.0,0.0,Snack,325.0,0,1,1,0
Flan (1 slice) (130% portion),Dessert,286.0,7.800000000000001,45.5,9.1,0.0,42.9,104.0,117.0,Snack,0.0,0,0,1,0
Cottage Cheese (1/2 cup) (130% portion),Dairy,117.0,15.6,6.5,3.9,0.0,5.2,520.0,13.0,Snack,0.0,0,0,0,1
Kiwifruit (1 medium) (150% portion),Fruit,69.0,1.35,16.65,0.6000000000000001,3.45,10.05,3.0,0.0,Snack,0.0,0,1,1,0
Steamed Broccoli (1 cup) (70% portion),Vegetable,38.5,2.59,7.839999999999999,0.42,3.5699999999999994,1.4,28.0,0.0,Dinner,0.0,1,1,1,1
Turkey Burger (1 patty) (70% portion),Protein/Meat,112.0,15.4,1.4,5.6,0.0,0.7,280.0,49.0,Lunch,175.0,1,0,0,1
Potato Chips (1 oz) (150% portion),Snack/Processed,240.0,3.0,22.5,15.0,1.5,0.75,255.0,0.0,Snack,0.0,1,0,0,0
Diet Soda (1 can) (130% portion),Beverage,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,Lunch,461.5,1,1,1,1
Beef Tacos (2 hard shell) (150% portion),Meal/Meat,570.0,27.0,42.0,33.0,7.5,4.5,900.0,75.0,Dinner,750.0,0,0,0,0
Dark Chocolate (1 oz 70%) (150% portion),Dessert,255.0,3.3000000000000003,19.5,18.0,4.5,10.5,7.5,0.0,Snack,0.0,0,1,1,0
Risotto (Mushroom 1 cup) (130% portion),Meal/Grain,325.0,9.1,45.5,11.7,3.9,3.9,780.0,26.0,Dinner,0.0,0,0,0,0
Smoothie (Fruit & Yogurt) (150% portion),Beverage/Meal,420.0,18.0,82.5,4.5,10.5,60.0,105.0,7.5,Breakfast,375.0,0,1,0,0
Pear (50% portion),Fruit,50.5,0.3,13.5,0.1,2.75,8.0,1.0,0.0,Snack,0.0,0,1,1,0
Cumin (1 tsp) (130% portion),Condiment,10.4,0.39,1.95,0.65,0.52,0.13,3.9,0.0,Lunch,0.0,1,1,1,1
Olive (garnish) (70% portion),Fruit,3.5,0.0,0.0699999999999999,0.35,0.0699999999999999,0.0,21.0,0.0,Snack,0.0,1,1,1,1
Ground Lamb (1 oz filling) (150% portion),Protein/Meat,120.0,8.25,0.0,9.0,0.0,0.0,30.0,30.0,Snack,0.0,1,0,1,0
Jalapeno (1 tbsp sliced) (130% portion),Vegetable,5.2,0.13,1.04,0.13,0.52,0.65,1.3,0.0,Dinner,0.0,1,1,1,1
Sriracha (1 tsp) (50% portion),Condiment,2.5,0.05,0.5,0.05,0.05,0.4,40.0,0.0,Dinner,0.0,1,1,1,1
Smoothie (Fruit & Yogurt) (70% portion),Beverage/Meal,196.0,8.399999999999999,38.5,2.1,4.9,28.0,49.0,3.5,Breakfast,175.0,0,1,1,0
Trail Mix (1/4 cup) (150% portion),Snack/Processed,285.0,7.5,30.0,18.0,4.5,21.0,75.0,0.0,Snack,375.0,0,1,1,0
Cucumber Salad (1/2 cup) (70% portion),Vegetable,28.0,0.7,3.5,1.4,0.7,2.8,140.0,0.0,Dinner,0.0,1,0,1,1
Corn (1 cup) (70% portion),Vegetable,92.4,3.29,21.0,1.26,2.52,6.23,1.4,0.0,Dinner,0.0,0,1,1,1
Fresh Mozzarella (1 oz) (70% portion),Dairy,50.4,3.5,0.5599999999999999,3.5,0.0,0.21,96.6,15.4,Dinner,0.0,1,1,1,1
Saffron (pinch) (70% portion),Condiment,0.7,0.0,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Potato Chips (1 oz) (50% portion),Snack/Processed,80.0,1.0,7.5,5.0,0.5,0.25,85.0,0.0,Snack,0.0,1,1,1,1
Caprese Salad (150% portion),Meal/Vegetable,360.0,15.0,12.0,27.0,3.0,7.5,525.0,60.0,Lunch,375.0,0,0,0,0
S'more (1 serving) (70% portion),Dessert,98.0,1.4,17.5,2.8,0.7,10.5,62.99999999999999,0.0,Snack,0.0,0,1,1,0
Lobster (3oz steamed) (70% portion),Protein/Seafood,53.2,11.2,0.0,0.4899999999999999,0.0,0.0,175.0,87.5,Dinner,175.0,1,0,1,1
Beef Jerky (1 oz) (70% portion),Snack/Processed,81.19999999999999,6.58,2.17,5.04,0.35,1.75,413.0,21.0,Snack,0.0,1,0,0,1
Garlic (1 clove in beans) (50% portion),Vegetable,2.0,0.1,0.45,0.0,0.05,0.0,0.5,0.0,Dinner,0.0,1,1,1,1
Thai Iced Tea (1 glass) (50% portion),Beverage,125.0,1.5,17.5,6.0,0.0,16.5,25.0,17.5,Snack,150.0,0,1,1,0
Potato Leek Soup (1 cup) (130% portion),Meal/Vegetable,234.0,5.2,32.5,9.1,3.9,5.2,845.0,19.5,Lunch,325.0,0,0,0,0
Mashed Potatoes (side) (130% portion),Vegetable,195.0,3.9,32.5,5.2,2.6,2.6,390.0,13.0,Dinner,0.0,0,0,0,1
Salami (3 slices) (50% portion),Protein/Processed,55.0,3.0,0.5,4.5,0.0,0.25,250.0,15.0,Lunch,0.0,1,0,0,1
English Muffin (whole wheat) (150% portion),Grain,201.0,9.0,39.0,1.5,6.6000000000000005,1.5,315.0,0.0,Breakfast,375.0,0,0,0,1
Fruit Cocktail (canned 1 cup) (50% portion),Fruit,55.0,0.5,14.0,0.0,1.0,13.0,5.0,0.0,Snack,0.0,0,1,1,0
Macaroni Salad (1 cup) (50% portion),Meal/Pasta,190.0,4.0,15.0,12.5,1.5,3.0,375.0,10.0,Lunch,0.0,1,0,0,0
Stuffed Grape Leaves (3 pcs) (50% portion),Meal/Vegetarian,75.0,1.5,10.0,3.5,1.5,1.5,200.0,0.0,Snack,0.0,1,0,0,1
Avocado Toast (1 slice) (150% portion),Meal/Vegetarian,390.0,10.5,42.0,22.5,15.0,1.5,525.0,0.0,Breakfast,750.0,0,0,0,0
Goat Cheese (1 oz) (50% portion),Dairy,51.5,3.05,0.05,4.25,0.0,0.05,73.0,11.0,Lunch,0.0,1,1,1,1
Tapioca Pearls (1/4 cup boba) (130% portion),Condiment,130.0,0.0,32.5,0.0,0.0,26.0,6.5,0.0,Snack,0.0,0,1,1,0
Turkey Sausage (1 patty) (50% portion),Protein/Meat,35.0,4.5,0.5,2.0,0.0,0.25,140.0,17.5,Breakfast,0.0,1,0,1,1
White Rice (1 cup cooked) (150% portion),Grain,306.0,6.300000000000001,66.75,0.6000000000000001,0.8999999999999999,0.15,3.0,0.0,Dinner,0.0,0,1,1,1
Burger (cheeseburger) (50% portion),Meal/Processed,275.0,15.0,20.0,15.0,1.5,3.5,550.0,45.0,Dinner,250.0,1,0,0,0
Sweet & Sour Chicken (1 cup) (70% portion),Meal/Processed,266.0,12.6,31.5,10.5,2.1,17.5,525.0,35.0,Dinner,0.0,0,0,0,0
Onion (1/2 cup raw chopped) (130% portion),Vegetable,41.6,1.1700000000000002,9.75,0.13,1.82,4.94,3.9,0.0,Dinner,0.0,1,1,1,1
Prosciutto (1 slice wrapper) (70% portion),Protein/Meat,24.5,2.8,0.0,1.75,0.0,0.0,196.0,7.0,Dinner,0.0,1,0,1,1
Silken Tofu (3oz in soup) (150% portion),Protein/Vegetarian,67.5,7.5,3.0,3.75,0.75,1.5,7.5,0.0,Dinner,0.0,1,1,1,1
Cabbage Slaw (side) (150% portion),Vegetable,90.0,1.5,12.0,4.5,3.0,7.5,180.0,7.5,Dinner,0.0,0,0,1,0
Tuna Salad (1/2 cup) (150% portion),Meal/Fish,285.0,28.5,3.0,18.0,1.5,1.5,600.0,45.0,Lunch,750.0,1,0,0,0
Naan Bread (1 piece) (130% portion),Grain,338.0,10.4,58.5,6.5,2.6,3.9,585.0,13.0,Dinner,0.0,0,0,0,1
Potato Leek Soup (1 cup) (150% portion),Meal/Vegetable,270.0,6.0,37.5,10.5,4.5,6.0,975.0,22.5,Lunch,375.0,0,0,0,0
Baba Ganoush (1/4 cup) (150% portion),Meal/Vegetable,150.0,3.0,12.0,10.5,6.0,3.0,450.0,0.0,Snack,0.0,1,0,0,0
Lime (juice of 1) (150% portion),Condiment,16.5,0.3,5.550000000000001,0.0,0.6000000000000001,1.0499999999999998,1.5,0.0,Dinner,0.0,1,1,1,1
Horchata (1 cup) (130% portion),Beverage,182.0,2.6,32.5,3.9,1.3,28.6,39.0,6.5,Snack,312.0,0,1,1,0
Flan (1 slice) (130% portion),Dessert,286.0,7.800000000000001,45.5,9.1,0.0,42.9,104.0,117.0,Snack,0.0,0,0,1,0
Egg Yolk (1 large in sauce) (50% portion),Protein,27.5,1.35,0.3,2.25,0.0,0.15,4.0,92.0,Dinner,0.0,1,0,1,1
Negroni (1 drink) (70% portion),Beverage,133.0,0.0,10.5,0.0,0.0,10.5,3.5,0.0,Snack,62.99999999999999,0,1,1,0
T-Bone Steak (6oz) (50% portion),Protein/Meat,230.0,19.0,0.0,16.5,0.0,0.0,55.0,52.5,Dinner,0.0,1,0,0,0
Tea (Green  1 cup) (70% portion),Beverage,1.4,0.35,0.0,0.0,0.0,0.0,1.4,0.0,Breakfast,175.0,1,1,1,1
Carbonara (1.5 cups) (50% portion),Meal/Pasta,325.0,12.5,30.0,17.5,2.0,2.0,450.0,125.0,Dinner,0.0,0,0,0,0
Side Salad (light dressing) (150% portion),Vegetable,105.0,3.0,12.0,6.0,4.5,4.5,225.0,0.0,Dinner,0.0,1,0,0,1
Coconut Water (1 cup) (130% portion),Beverage,59.8,2.21,11.57,0.65,3.3800000000000003,8.19,327.6,0.0,Snack,312.0,0,0,0,0
Lobster Bisque (1 cup) (150% portion),Meal/Seafood,375.0,12.0,18.0,27.0,1.5,4.5,1275.0,75.0,Lunch,375.0,1,0,0,0
Butter (1 tbsp) (50% portion),Condiment/Dairy,50.0,0.05,0.0,5.5,0.0,0.0,41.0,15.0,Breakfast,0.0,1,1,1,1
Olive Oil (1 tsp garnish) (70% portion),Condiment,28.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Cod (4oz baked) (70% portion),Protein/Fish,66.5,14.0,0.0,0.5599999999999999,0.0,0.0,66.5,38.5,Dinner,175.0,1,0,1,1
Italian Dressing (2 tbsp) (130% portion),Condiment,91.0,0.0,3.9,9.1,0.0,2.6,390.0,0.0,Lunch,0.0,1,0,0,0
Aperol Spritz (1 drink) (70% portion),Beverage,126.0,0.0,14.0,0.0,0.0,14.0,7.0,0.0,Snack,105.0,0,1,1,0
Potato Chips (1 oz) (70% portion),Snack/Processed,112.0,1.4,10.5,7.0,0.7,0.35,119.0,0.0,Snack,0.0,1,1,1,0
Cottage Cheese (1/2 cup) (50% portion),Dairy,45.0,6.0,2.5,1.5,0.0,2.0,200.0,5.0,Snack,0.0,1,0,0,1
Grapefruit (1/2 medium) (50% portion),Fruit,26.0,0.55,6.6,0.1,1.0,4.25,0.0,0.0,Breakfast,0.0,1,1,1,1
Root Beer (1 can) (130% portion),Beverage,195.0,0.0,52.0,0.0,0.0,52.0,71.5,0.0,Snack,461.5,0,1,1,0
Media Luna (1 pastry) (50% portion),Grain,95.0,2.0,12.5,4.0,0.5,4.5,75.0,12.5,Breakfast,0.0,1,1,1,1
Salt (1/4 tsp) (150% portion),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,Dinner,0.0,1,0,0,1
Apple Pie (1 slice) (130% portion),Dessert,533.0,3.9,75.4,24.7,3.9,32.5,416.0,0.0,Snack,0.0,0,0,0,0
